// This research has made use of the NASA Exoplanet Archive, which is operated by the California Institute of Technology, under contract with the National Aeronautics and Space Administration under the Exoplanet Exploration Program.;;;;;;;;;;;;;
Identifier;Host Name;Orbital Period [days];Planet Density [g/cm**3];Distance [pc];Effective Temperature [K];Date of Last Update;Planet Name;Planet Mass [Earth mass];Planet Radius [Earth radii];Year of Discovery;Link to Exoplanet Encyclopaedia;HD Name;HIP Name
// Our solar systen:
gj_667_c_e;GJ 667 C;62,24;;6,8;3350;14.05.2014;GJ 667 C e;;;2013;http://exoplanet.eu/catalog/gj_667c_e/;;
gj_667_c_f;GJ 667 C;39,026;;6,8;3350;14.05.2014;GJ 667 C f;;;2013;http://exoplanet.eu/catalog/gj_667c_f/;;
gj_667_c_g;GJ 667 C;256,2;;6,8;3350;14.05.2014;GJ 667 C g;;;2013;http://exoplanet.eu/catalog/gj_667c_g/;;
gj_674_b;GJ 674;4,6938;;4,54;3600;14.05.2014;GJ 674 b;;;2007;http://exoplanet.eu/catalog/gj_674_b/;;HIP 85523
gj_676_a_b;GJ 676 A;1051,1;;16,9;;29.09.2016;GJ 676 A b;2129,461;;2010;http://exoplanet.eu/catalog/gj_676_a_b/;;HIP 85647
gj_676_a_c;GJ 676 A;7337;;16,9;;29.09.2016;GJ 676 A c;;;2016;http://exoplanet.eu/catalog/gj_676_a_c/;;HIP 85647
gj_676_a_d;GJ 676 A;3,6005;;16,9;;29.09.2016;GJ 676 A d;;;2012;http://exoplanet.eu/catalog/gj_676_a_d/;;HIP 85647
gj_676_a_e;GJ 676 A;35,39;;16,9;;29.09.2016;GJ 676 A e;;;2012;http://exoplanet.eu/catalog/gj_676_a_e/;;HIP 85647
gj_687_b;GJ 687;38,14;;4,53;3413;28.05.2014;GJ 687 b;;;2014;http://exoplanet.eu/catalog/gl_687_b/;;HIP 86162
gj_832_b;GJ 832;3657;;4,94;3472;25.06.2014;GJ 832 b;;;2008;http://exoplanet.eu/catalog/gj_832_b/;HD 204961;HIP 106440
gj_832_c;GJ 832;35,68;;4,94;3472;25.06.2014;GJ 832 c;;;2014;http://exoplanet.eu/catalog/gj_832_c/;HD 204961;HIP 106440
